"V1" "V2"
"223" -9.77165512527608 -9.21418126414545
"224" -9.34704605389904 -8.75534050909675
"225" -9.67252239715884 -9.33287856136162
"226" -9.59714186330371 -9.31462787021302
"227" -9.44122076887865 -9.35714640625698
"228" -9.22241218004556 -9.36666424305212
"229" -9.73984254557283 -10.0045841927484
"230" -9.83216098606133 -10.080147429306
"231" -9.98704979959071 -10.3007376497426
"232" -10.0520009474704 -10.1271549919949
"233" -9.55671986558089 -9.90742783051301
"234" -9.15129889796138 -9.51536536634586
"235" -8.72539150167537 -9.1882045105055
"236" -8.79978707618956 -9.23904195263639
"237" -8.83338208169556 -9.40816370783788
"238" -8.42140600991608 -8.80561297892148
"239" -8.34200648689627 -9.0253297009092
"240" -8.83562400454022 -9.33576610931274
"241" -8.48329228794359 -8.94415503020559
"242" -8.82959069092245 -9.24817810686583
"243" -8.71083268486071 -9.16322191740936
"244" -9.21331457029401 -9.6384318562074
"245" -9.57636244838473 -10.0027891225911
"246" -9.35116758811041 -9.4014385191218
"247" -9.45122368334127 -9.20150954967411
"248" -9.26991033950735 -9.10845542873578
"249" -9.4320854648074 -9.19986393600893
"250" -9.92308952744051 -9.95059062709727
"251" -9.79280136634043 -9.93227732120262
"252" -9.09080454943738 -9.6559026562201
"253" -8.9668018779567 -9.34073419794544
"254" -9.45835321864811 -9.80457205788103
"255" -9.3269524554216 -9.7258043061259
"256" -8.75966586726185 -9.06302543341579
"257" -8.64989573204154 -9.04181910244181
"258" -8.55130530020741 -9.0182450486808
"259" -8.40351603926286 -8.82609280777059
"260" -8.32284547521866 -8.6676008529842
"261" -8.22464205555238 -8.63752004544231
"262" -8.24252484417088 -8.7270747485785
"263" -8.21280715564773 -8.60768586416869
"264" -8.61458301952505 -8.97066787250004
"265" -8.50687493953152 -9.08783658199023
"266" -8.68711457711884 -9.004033883174
"267" -8.83457129577597 -9.10650464086901
"268" -8.78755962169365 -9.03167029988737
"269" -9.04449752813851 -9.21551243121935
"270" -9.23171286321718 -9.3528700447656
"271" -8.78373026964169 -8.85336828910429
"272" -9.06071802659473 -8.89291217404948
"273" -8.3523094353234 -8.55224212445658
"274" -8.14279954966281 -8.19328913476422
"275" -8.37577761407824 -8.58006731708476
"276" -7.99507112537122 -8.3232705411701
"277" -8.50983214621364 -8.53514085260224
"278" -8.0664584814306 -8.58539698788617
"279" -8.11228045592237 -8.54467689144098
"280" -7.73014278945779 -8.59828749415576
"281" -7.63611810662986 -8.42426720439058
"282" -7.64669919701312 -8.17214618629633
"283" -8.13535139721866 -8.2951546750104
"284" -8.49634052361378 -8.46846702634645
"285" -8.66568312451565 -8.72650948615425
"286" -8.58162518288533 -8.69619349760665
"287" -8.32122862449996 -8.77234537462856
"288" -8.73982165218501 -9.05645842719039
"289" -8.84163156305021 -9.25932047542625
"290" -9.32990878958673 -9.65628566710005
"291" -9.62303531047894 -9.61840794890657
"292" -9.49560897302786 -9.6170318529569
"293" -9.54156273845501 -9.64990930066692
"294" -10.0048561504326 -10.050257049236
"295" -9.80059747286936 -9.76419480756765
"296" -9.26237837275296 -9.4520360884481
"297" -9.54985534130695 -9.63210499863872
"298" -9.60793884308423 -9.62574872019961
"299" -8.8536699995613 -9.20158058083059
"300" -9.56648720939284 -9.93890460118419
"301" -9.47814663284827 -9.97259012746865
"302" -9.29916178882266 -10.0142729625399
"303" -9.36476275630094 -9.64357293392116
"304" -9.74824587555527 -10.1238713884071
"305" -10.0337929994346 -10.104364945444
"306" -9.90373340378074 -9.87176010923405
"307" -9.95791011767155 -10.1206482878399
"308" -9.49334700850149 -9.7760973894478
"309" -9.40630576283326 -9.8633449057711
"310" -9.80932767093903 -10.2567324889411
"311" -9.16477728633644 -9.81786012923967
"312" -8.94907227562554 -9.3739706319632
"313" -8.80228029800625 -9.14457952005435
"314" -9.37029294089425 -9.6653379644738
"315" -9.35466877882237 -9.35875071932647
"316" -9.6487616699614 -9.55552858967961
"317" -9.51274062181566 -9.3317636822938
"318" -9.97158791138704 -9.80152538039257
"319" -9.40553373742586 -9.61021733261314
"320" -9.57694059467686 -9.94044403222887
"321" -10.1428356615468 -10.3832651139388
"322" -10.2467655159824 -10.571415331485
"323" -9.81185176832352 -10.3481030060365
"324" -8.80080045915731 -9.57600087544736
"325" -8.91343703550232 -9.70131270476874
"326" -9.01864197351219 -9.44746545609974
"327" -9.97923673465013 -10.1090057633381
"328" -9.63002964677549 -10.0007766693297
"329" -9.51143168911685 -9.72782842329275
"330" -9.38553047621317 -9.91412228169714
"331" -9.0711021616498 -9.11371356652973
"332" -9.37357512121537 -9.21505581332996
"333" -9.26772373265232 -8.94359764040938
"334" -9.25198231888288 -8.68909941341818
"335" -8.88580092255717 -8.50799637513046
"336" -8.48007799778899 -8.27435420364456
"337" -8.07299076503817 -7.8401552308787
"338" -8.17194532037318 -8.09883694416891
"339" -8.80754898352764 -8.64634280172223
"340" -9.04784018347651 -9.15493189558899
"341" -9.51542366111366 -9.67256761305642
"342" -9.114882229345 -9.50546145927612
"343" -9.10399291824143 -9.44864604307804
"344" -9.40437355697477 -9.81438622747463
"345" -9.46311518294536 -9.94111705960395
"346" -9.74930435829933 -9.97549252808939
"347" -10.1352963730342 -10.1873894650268
